cycle,timestamp,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,ci_lo,ci_hi,spearman_r_ema,spearman_p_ema,pearson_r_ema,pearson_p_ema,kendall_tau_ema,kendall_p_ema,spearman_r_best,spearman_p_best,pearson_r_best,pearson_p_best,kendall_tau_best,kendall_p_best,mean_val_acc1,std_val_acc1,mean_ema_acc1,mean_best_val_acc1,n_archs
21,2026-06-03T14:38:49.283029,0.44999999999999996,0.09235737494812256,-0.2790408426554969,0.31386061288863554,0.3904761904761905,0.04629247541540862,-0.20363636363636367,0.9271435668156979,0.22142857142857136,0.42771371901637,-0.14491985455314033,0.606333833339963,0.20000000000000004,0.3282335876694342,0.28928571428571426,0.29566536100437785,-0.3902783262774281,0.15038026094527018,0.23809523809523814,0.23945881568583288,87.50338855421687,1.242147224003901,80.93873410307899,91.6456764558233,15
22,2026-06-03T14:43:27.531120,0.34642857142857136,0.2058959920935512,-0.10121694385582172,0.7196499131179359,0.3523809523809524,0.07433498084899375,-0.2996661303824622,0.9315610002525885,0.1714285714285714,0.5412721760996331,-0.14884885808229004,0.5964993977099426,0.14285714285714288,0.4950508526248027,0.28928571428571426,0.29566536100437785,-0.3902783262774281,0.15038026094527018,0.23809523809523814,0.23945881568583288,87.57859563253012,1.3428473205157696,81.9321034136546,91.6456764558233,15
23,2026-06-03T14:48:05.530608,0.48571428571428565,0.06642631232518958,0.5273014539141508,0.043391507530357094,0.3523809523809524,0.07433498084899375,-0.15849370396768825,0.8804347826086959,0.22499999999999998,0.420104686907635,-0.15032640838276687,0.5928176493839855,0.18095238095238098,0.3794503959627968,0.28928571428571426,0.29566536100437785,-0.3902783262774281,0.15038026094527018,0.23809523809523814,0.23945881568583288,87.98499205153949,1.3921748465583053,82.83859395917003,91.6456764558233,15
24,2026-06-03T14:52:44.651826,0.15714285714285714,0.5759526006037947,-0.24049590639185625,0.3879141292281605,0.1619047619047619,0.43511891093211363,-0.4719849770482682,0.7802197802197801,0.1928571428571428,0.4910487016052232,-0.1478880110774329,0.5988985271014241,0.14285714285714288,0.4950508526248027,0.28928571428571426,0.29566536100437785,-0.3902783262774281,0.15038026094527018,0.23809523809523814,0.23945881568583288,88.89776815595717,1.3213999770822669,83.59707580321285,91.6456764558233,15
25,2026-06-03T14:57:26.280419,0.3214285714285714,0.24271904680166836,-0.21100570333905166,0.45031747032817315,0.2571428571428572,0.20184282422518202,-0.311271220492215,0.8327140925988511,0.2321428571428571,0.40509874069364893,-0.1509743460140453,0.5912060184703076,0.20000000000000004,0.3282335876694342,0.28928571428571426,0.29566536100437785,-0.3902783262774281,0.15038026094527018,0.23809523809523814,0.23945881568583288,89.63693314926373,0.9320525025616127,84.31247908299866,91.6456764558233,15
26,2026-06-03T15:02:03.962815,0.4107142857142856,0.12832864601574887,0.15419152811649495,0.5832302280460404,0.2571428571428572,0.20184282422518202,-0.21164426632781058,0.8191958517058094,0.23928571428571427,0.39037931192023567,-0.1529429406470187,0.5863203911696547,0.20000000000000004,0.3282335876694342,0.28928571428571426,0.29566536100437785,-0.3902783262774281,0.15038026094527018,0.23809523809523814,0.23945881568583288,90.41961596385542,1.029332349992556,84.94154743975902,91.6456764558233,15
27,2026-06-03T15:06:42.154324,0.18214285714285713,0.5158816817070392,-0.3758075309652375,0.1674444471167973,0.1619047619047619,0.43511891093211363,-0.4764346539536413,0.8155598605571186,0.25,0.36884629178393047,-0.1590080740266026,0.5713727423546244,0.20000000000000004,0.3282335876694342,0.33571428571428563,0.22121153763932594,-0.4182716828323297,0.12076583584114015,0.29523809523809524,0.13946285911906778,91.15390729585008,1.108876355885392,85.5369812583668,91.70748619477914,15
28,2026-06-03T15:11:20.454772,0.43214285714285705,0.10769303754639799,-0.31195695479288793,0.25766573087857003,0.40952380952380957,0.03589723736788882,-0.2445357973410762,0.9494630288548945,0.2678571428571428,0.3344436005123538,-0.16080875268222644,0.5669658682158141,0.21904761904761905,0.2815660702955676,0.3928571428571428,0.14746665531132622,-0.336926622485271,0.21944358268100408,0.33333333333333337,0.09264256691158146,91.87262592034807,1.0867738715497957,86.05948795180724,91.9390060240964,15
29,2026-06-03T15:16:09.420371,0.28571428571428564,0.3019363513225493,-0.34054737603779756,0.2142166157735887,0.20000000000000004,0.3282335876694342,-0.4233715487146937,0.8661713398361087,0.3107142857142856,0.2596673973372179,-0.1668320682560533,0.5523299975309015,0.2761904761904762,0.16857787367749338,0.2785714285714285,0.3147094732307908,-0.3714357239073529,0.1728408259398482,0.18095238095238098,0.3794503959627968,92.214796686747,0.8947999238627427,86.53273510709505,92.23411353748325,15
30,2026-06-03T17:02:05.726254,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,-0.40727272727272734,0.8620689655172413,0.3107142857142856,0.2596673973372179,-0.16226798566032533,0.5634051750414958,0.2761904761904762,0.16857787367749338,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,92.46010081994646,0.9503403877735741,86.99606760374833,92.46010081994646,15
